country,latitude,longitude
Netherlands,52.132633,5.291266
Netherlands Antilles,52.3763561,4.9245673
New Caledonia,-20.904305,165.618042
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Nigeria,9.081999,8.675277
Niue,-19.054445,-169.867233
Norfolk Island,-29.040835,167.954712
Northern Mariana Islands,15.0979,145.6739
Norway,60.472024,8.468946
Oman,21.4735329,55.975413
Pakistan,30.375321,69.345116
Palau,7.51498,134.58252
Palestine (Gaza Strip is only part on the coast),31.3546763,34.3088255
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Reunion,-21.115141,55.536384
Romania,45.943161,24.96676
Russia,61.52401,105.318756
Saint Helena,-15.9650104,-5.7089241
Saint Kitts and Nevis,17.357822,-62.782998
Saint Lucia,13.909444,-60.978893
"Saint Maarten, DWI",18.04248,-63.05483
Saint Pierre,46.7758459,-56.1806363
Saint Vincent and the Grenadines,12.984305,-61.287228
Samoa,-13.759029,-172.104629
Sao Tome and Principe,0.18636,6.613081
Saudi Arabia,23.885942,45.079162
Senegal,14.497401,-14.452362
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Slovenia,46.151241,14.995463
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
South Africa,-30.559482,22.937506
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sudan,12.862807,30.217636
Suriname,3.919305,-56.027783
Svalbard,77.8749725,20.9751821
Sweden,60.128161,18.643501
Syria,34.802075,38.996815
Taiwan,23.69781,120.960515
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
The Gambia,13.443182,-15.310139
Togo,8.619543,0.824782
Tokelau,-9.2002,-171.8484
Tonga,-21.178986,-175.198242
Trinidad and Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turks and Caicos Islands,21.694025,-71.797928
Tuvalu,-7.109535,177.64933
Ukraine,48.379433,31.1655799
United Arab Emirates,23.424076,53.847818
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
USVI,18.335765,-64.896335
Vanuatu,-15.376706,166.959158
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Yemen,15.552727,48.516388
