country,economic_status1,coastal_population2,waste_generation_rate_kg_per_person3,percentage_plastic_in_waste_stream4,percentage_inadequately_managed_waste5,percentage_littered_waste6,waste_generation_kg_day7,plastic_waste_generation_kg_day7,inadequately_managed_plastic_waste_kg_day7,plastic_waste_littered_kg_day7,mismanaged_plastic waste_kg_person_day7,mismanaged_plastic_waste_2010_tonnes7,mismanaged_plastic_waste_2025_tonnes7
Montenegro,UMI,"260,336",1.2,12,30,2,"312,403","37,332","11,353",747,0.046,"4,416"," 7,244 "
Montserrat,UMI,"5,173",1.2,12,12,2,"6,208",742,89,15,0.020,38, 71 
Morocco,LMI,"17,303,431",1.46,5,66,2,"25,263,009","1,250,519","824,650","25,010",0.049,"310,126"," 706,583 "
Mozambique,LI,"9,566,559",0.14,11,84,2,"1,339,318","146,655","123,081","2,933",0.013,"45,995"," 287,067 "
Namibia8,UMI,"155,084",1.2,12,66,2,"186,101","22,239","14,570",445,0.097,"5,480"," 11,340 "
Nauru,UMI,"15,289",1.2,12,67,2,"18,347","2,192","1,473",44,0.099,554," 1,043 "
Netherlands,HIC,"8,971,770",2.12,20,0,2,"19,020,152","3,794,520",0,"75,890",0.008,"27,700"," 32,387 "
Netherlands Antilles,HIC,"227,165",2.1,12,0,2,"477,047","57,007",0,"1,140",0.005,416, 368 
New Caledonia,HIC,"257,904",2.1,12,0,2,"541,598","64,721",0,"1,294",0.005,472, 702 
New Zealand,HIC,"3,862,054",3.68,9,0,2,"14,212,359","1,272,006",0,"25,440",0.007,"9,286"," 11,517 "
Nicaragua,LMI,"3,482,653",1.1,13,45,2,"3,830,918","496,104","221,353","9,922",0.066,"84,415"," 169,439 "
Nigeria8,LMI,"27,477,112",0.79,13,81,2,"21,706,918","2,811,046","2,276,636","56,221",0.085,"851,493"," 2,481,008 "
Niue,HIC,"1,799",2.1,12,0,2,"3,778",451,1,9,0.006,4, 5 
Norfolk Island,LMI,"2,156",0.79,13,82,2,"1,703",221,182,4,0.086,68, 156 
Northern Mariana Islands,HIC,"106,256",2.1,12,0,2,"223,138","26,665",66,533,0.006,219, 309 
Norway,HIC,"4,131,679",2.8,10,0,2,"11,568,701","1,151,086",0,"23,022",0.006,"8,403"," 9,798 "
Oman,HIC,"2,597,556",0.7,12,4,2,"1,818,289","217,286","8,416","4,346",0.005,"4,658"," 11,774 "
Pakistan8,LMI,"14,581,952",0.79,13,86,2,"11,519,742","1,491,807","1,286,583","29,836",0.090,"480,493"," 1,221,460 "
Palau,UMI,"23,446",1.2,12,56,2,"28,135","3,362","1,895",67,0.084,716," 1,350 "
Palestine (Gaza Strip is only part on the coast),LMI,"3,045,258",0.79,8,6,2,"2,405,754","191,257","11,515","3,825",0.005,"5,599"," 18,676 "
Panama,UMI,"3,249,531",1.21,12,18,2,"3,931,933","469,866","84,815","9,397",0.029,"34,388"," 70,759 "
Papua New Guinea,LMI,"2,747,514",0.79,13,86,2,"2,170,536","281,084","240,502","5,622",0.090,"89,835"," 242,328 "
Peru8,UMI,"13,765,608",1.2,12,25,2,"16,518,730","1,973,988","493,267","39,480",0.039,"194,453"," 377,111 "
Philippines,LMI,"83,446,862",0.5,15,81,2,"41,723,431","6,237,653","5,035,956","124,753",0.062,"1,883,659"," 5,088,394 "
Poland,UMI,"3,272,933",0.88,11,12,2,"2,880,181","315,380","36,715","6,308",0.013,"15,703"," 26,855 "
Portugal,HIC,"8,507,951",2.21,12,0,2,"18,802,572","2,246,907",0,"44,938",0.005,"16,402"," 19,382 "
Puerto Rico,HIC,"4,249,848",2.1,12,2,2,"8,924,681","1,066,499","23,923","21,330",0.011,"16,517"," 20,481 "
Qatar,HIC,"653,007",1.33,12,0,2,"868,499","103,786",0,"2,076",0.003,758," 1,560 "
Reunion,UMI,"809,426",1.2,12,0,2,"971,311","116,072",0,"2,321",0.003,847," 1,615 "
Romania,UMI,"875,170",1.04,4,26,2,"910,177","35,952","9,172",719,0.011,"3,610"," 8,261 "
Russia,UMI,"10,812,537",0.93,12,16,2,"10,055,659","1,201,651","197,226","24,033",0.020,"80,759"," 128,946 "
Saint Helena,UMI,"6,839",1.2,12,25,2,"8,207",981,244,20,0.039,96, 182 
Saint Kitts and Nevis,UMI,"36,102",5.45,12,6,2,"196,756","23,512","1,489",470,0.054,715, 742 
Saint Lucia,UMI,"163,227",4.35,12,20,2,"710,037","84,849","16,683","1,697",0.113,"6,709"," 8,610 "
"Saint Maarten, DWI",HIC,"37,429",2.1,12,0,2,"78,601","9,393",3,188,0.005,70, 98 
Saint Pierre,HIC,"5,888",2.1,12,0,2,"12,365","1,478",0,30,0.005,11, 15 
Saint Vincent and the Grenadines,UMI,"120,149",1.7,13,21,2,"204,253","26,451","5,621",529,0.051,"2,245"," 2,996 "
Samoa,LMI,"168,025",0.79,13,80,2,"132,740","17,190","13,688",344,0.084,"5,122"," 10,989 "
Sao Tome and Principe8,LMI,"163,740",0.79,13,81,2,"129,355","16,751","13,587",335,0.085,"5,081"," 13,309 "
Saudi Arabia,HIC,"3,593,471",1.3,12,8,2,"4,671,512","558,246","45,142","11,165",0.016,"20,552"," 43,855 "
Senegal8,LMI,"8,125,063",0.79,13,82,2,"6,418,800","831,235","681,376","16,625",0.086,"254,770"," 738,264 "
Seychelles,UMI,"91,361",2.98,12,37,2,"272,256","32,535","12,005",651,0.139,"4,619"," 5,478 "
Sierra Leone,LI,"2,887,017",0.45,9,84,2,"1,299,158","116,275","97,423","2,325",0.035,"36,408"," 121,312 "
Singapore,HIC,"4,492,494",1.49,13,0,2,"6,693,816","866,849",393,"17,337",0.004,"6,472"," 10,878 "
Slovenia,HIC,"336,594",1.21,12,1,2,"407,279","48,670",550,973,0.005,556, 985 
Solomon Islands8,LMI,"618,678",0.79,13,86,2,"488,756","63,294","54,608","1,266",0.090,"20,394"," 176,589 "
Somalia,LI,"5,971,169",0.6,9,85,2,"3,582,701","320,652","271,753","6,413",0.047,"101,531"," 289,601 "
South Africa,UMI,"12,899,201",2,12,54,2,"25,798,402","3,082,909","1,664,382","61,658",0.134,"630,005"," 836,279 "
Spain,HIC,"22,771,488",2.13,13,0,2,"48,503,269","6,281,173",0,"125,623",0.006,"45,853"," 58,932 "
Sri Lanka,LMI,"14,568,174",5.1,7,82,2,"74,297,687","5,163,689","4,256,120","103,274",0.299,"1,591,179"," 1,918,670 "
Sudan,LMI,"752,529",0.79,13,80,2,"594,498","76,987","61,277","1,540",0.083,"22,928"," 52,061 "
Suriname,UMI,"402,263",1.36,12,15,2,"547,078","65,376","9,493","1,308",0.027,"3,942"," 6,394 "
Svalbard,LMI,"2,226",0.79,13,0,2,"1,759",228,0,5,0.002,2, 4 
Sweden,HIC,"6,202,234",1.61,3,0,2,"9,985,597","294,575",0,"5,892",0.001,"2,150"," 5,245 "
Syria,LMI,"3,621,997",1.37,13,65,2,"4,962,136","642,597","419,763","12,852",0.119,"157,904"," 304,960 "
Taiwan,HIC,"22,211,567",2.1,12,0,2,"46,644,291","5,573,993","13,776","111,480",0.006,"45,718"," 64,631 "
Tanzania,LI,"6,688,695",0.26,9,84,2,"1,739,061","155,646","129,999","3,113",0.020,"48,586"," 214,196 "
Thailand8,UMI,"26,043,442",1.2,12,73,2,"31,252,130","3,734,630","2,741,031","74,693",0.108,"1,027,739"," 2,179,508 "
The Gambia,LI,"1,324,214",0.53,9,84,2,"701,833","62,814","52,485","1,256",0.041,"19,616"," 53,498 "
Togo,LI,"1,991,642",0.52,11,84,2,"1,035,654","113,404","94,721","2,268",0.049,"35,401"," 96,994 "
Tokelau,LMI,"1,379",0.79,13,82,2,"1,089",141,116,3,0.086,43, 100 
Tonga,LMI,"102,872",3.71,6,78,2,"381,655","22,708","17,694",454,0.176,"6,624"," 10,272 "
Trinidad and Tobago,HIC,"1,358,433",14.4,25,3,2,"19,561,435","4,880,578","160,103","97,612",0.190,"94,066"," 73,512 "
Tunisia8,UMI,"7,274,973",1.2,12,60,2,"8,729,968","1,043,231","621,077","20,865",0.088,"234,309"," 440,701 "
Turkey,UMI,"34,042,862",1.77,12,16,2,"60,255,866","7,200,576","1,187,323","144,012",0.039,"485,937"," 790,235 "
Turks and Caicos Islands,HIC,"22,570",2.1,12,0,2,"47,397","5,664",22,113,0.006,49, 70 
Tuvalu,UMI,"11,563",1.2,12,73,2,"13,876","1,658","1,218",33,0.108,457, 861 
Ukraine,LMI,"6,812,799",0.79,13,49,2,"5,382,111","696,983","338,841","13,940",0.052,"128,765"," 233,388 "
United Arab Emirates,HIC,"2,018,302",1.66,12,0,2,"3,350,381","400,371",256,"8,007",0.004,"3,016"," 5,910 "
United Kingdom,HIC,"43,258,889",1.79,12,0,2,"77,433,411","9,253,293",0,"185,066",0.004,"67,549"," 94,165 "
United States,HIC,"112,925,034",2.58,13,0,2,"291,346,588","37,729,383",0,"754,588",0.007,"275,424"," 336,819 "
Uruguay8,HIC,"2,433,597",2.1,12,8,2,"5,110,554","610,711","46,861","12,214",0.024,"21,562"," 8,037 "
USVI,HIC,"134,219",2.1,12,0,2,"281,860","33,682",11,674,0.005,250, 296 
Vanuatu,LMI,"251,851",3.28,9,81,2,"826,071","73,933","60,104","1,479",0.245,"22,478"," 38,006 "
Venezuela8,HIC,"16,094,897",2.1,12,5,2,"33,799,284","4,039,014","199,585","80,780",0.017,"102,333"," 154,243 "
Vietnam8,LMI,"55,858,245",0.79,13,86,2,"44,128,014","5,714,578","4,909,870","114,292",0.090,"1,833,819"," 4,172,828 "
Yemen,LMI,"6,048,920",0.79,13,73,2,"4,778,647","618,835","451,134","12,377",0.077,"169,181"," 513,907 "
,,,,,,,,,,,Total,"31,865,274","69,143,290"
